Timestamp,Name,Email,Select your Main Research Area:,Please select the Research Area Clusters,Comments,Proff websites,
,Manan Suri,manansuri@ee.iitd.ac.in,"Microelectronics and VLSI, AI/ML and Signal Processing","VLSI Systems Design , Neuromorphic VLSI, AI/ML, Multimedia – Signal and Image Processing, Cyber-Physical Systems ",,,
,Soumya Shubhra Nag,ssnag@ee.iitd.ac.in,"e-Mobility and Energy Storage, Smart and Sustainable Power Systems, Renewable Energy Systems","Power Electronics, E-mobility including high-speed traction and all-electric aircraft, Smart AC/DC grid, Microgrids, Grid protection planning, Inverter based resources / Power quality improvement,Inverter based resources, Power quality improvement, High power density onboard converter with WBG devices, Charging infrastructure design and development


",,,
,Jayadeva,jayadeva@ee.iitd.ac.in,AI/ML and Signal Processing,"AI/ML, Multimedia – Signal and Image Processing, Neuro-AI, Healthcare",,,
,Ranjan Bose,rbose@ee.iitd.ac.in,"Communications and Computing, Smart and Sustainable Power Systems, Renewable Energy Systems ","Next Gen Communication Networks (5G, 6G and beyond), Energy, Power Systems,  Cyber-Physical Systems, AI/ML, e-Mobility including high-speed traction and all-electric aircrafts",,,
,R. K. Mallik,rkmallik@ee.iitd.ac.in,Communications and Computing,"Next Gen Communication Networks (5G, 6G and beyond), Quantum Technology,  AI/ML, Multimedia – Signal and Image Processing, Mathematical Control / Robustness, Reliability and Optimality",,,
,INDRA NARAYAN KAR,ink@ee.iitd.ac.in,"Intelligent Systems and Robotics, Smart and Sustainable Power Systems","Robotics – Robotic Vehicles, Intelligence and Learning in Control, Mathematical Control, Power Electronics, Power Systems, Cyber-Physical Systems, AI/ML, Grid Stability Enhancement",,,
,Sukumar Mishra,sukumar@ee.iitd.ac.in,"Smart and Sustainable Power Systems, Renewable Energy Systems","Power Systems, Power Electronics, AI/ML, Cyber-Physical Systems, Smart AC/DC grid, Microgrids, Grid stability enhancement, Grid protection planning, Battery energy storage systems, Solar photovoltaic farm / wind farm planning",,,
,B. K. Panigrahi,bkpanigrahi@ee.iitd.ac.in,"Smart and Sustainable Power Systems,  e-Mobility and Energy Storage, Intelligent and Resilient Power Grid","Power Systems, Power Electronics, AI/ML, Cyber-Physical Systems, Energy, Grid Stability Enhancement, Smart AC/DC grid,Microgrids, Battery energy storage systems / Charging infrastructure design, Robustness, Reliability and Optimality",,,
,Sumantra Dutta Roy, sumantra@ee.iitd.ac.in,AI/ML and Signal Processing,"AI/ML, Multimedia – Signal and Image Processing, Healthcare, Quantum Technology, Robotics – Robotic Vehicles, Cyber-Physical Systems,",,,
,Brejesh Lall,brejesh@ee.iitd.ac.in,"AI/ML and Signal Processing, Communications and Computing ","AI/ML, Multimedia – Signal and Image Processing, Next Gen Communication Networks (5G, 6G and beyond), Cyber-Physical Systems, Healthcare, Robotics – Robotic Vehicles, Multi-sensory Media & Spatial Computing, Neuro-AI",,,
,Manav Bhatnagar,manav@ee.iitd.ac.in,"Communications and Computing,  AI/ML and Signal Processing","Next Gen Communication Networks (5G, 6G and beyond), AI/ML, Multimedia – Signal and Image Processing, Cyber-Physical Systems, Robustness, Reliability and Optimality, Mathematical Control, E-mobility including high-speed traction and all-electric aircrafts",,,
,Madhusudan Singh,msingh@ee.iitd.ac.in,Microelectronics and VLSI,"Flexible and Printed Electronics, MEMS, Sensors, Actuators, Energy",,,
,Mukul Sarkar,msarkar@ee.iitd.ac.in,Microelectronics and VLSI,"VLSI Systems Design, Analog and RF CMOS IC, MEMS, Sensors, Actuators, Multimedia – Signal and Image Processing, AI/ML, Healthcare",,,
,Abhisek Dixit,adixit@ee.iitd.ac.in,Microelectronics and VLSI,"Hardware for Quantum Computing, VLSI Systems Design, Analog and RF CMOS IC, Robustness, Reliability and Optimality",,,
,Amit Kumar Jain,amitjain@ee.iitd.ac.in,Smart and Sustainable Power Systems,"Power Electronics, Power Systems, Energy, Machine Design and Control for Energy Generation",,,
,Bhaskar Mitra,bmitra@ee.iitd.ac.in,Microelectronics and VLSI,"MEMS, Sensors, Actuators, Flexible and Printed Electronics",,,
,Abhishek Dixit,abhishek.dixit@iitd.ac.in,Communications and Computing,"Next Gen Communication Networks (5G, 6G and beyond), AI/ML, Multimedia – Signal and Image Processing, Cyber-Physical Systems, Robustness, Reliability and Optimality, Mathematical Control, Healthcare ",,,
,Deepak U. Patil,deepakpatil@ee.iitd.ac.in,"Intelligent Systems and Robotics, Smart and Sustainable Power Systems","Intelligence and Learning in Control, Mathematical Control, Robustness, Reliability and Optimality, Cyber-Physical Systems, Power Systems, Power Electronics",,,
,Harshan Jagadeesh, jharshan@ee.iitd.ac.in,Communications and Computing,"Next Gen Communication Networks 5G/6G, Cyber-Physical Systems, AI/ML, Robustness, Reliability and Optimality Resilience under attack/adversaries Mathematical Control",,,
,Ankesh Jain,ankesh@ee.iitd.ac.in,Microelectronics and VLSI,"Analog and RF CMOS IC, VLSI Systems / VLSI Systems Design, MEMS, Sensors, Actuators, Flexible and Printed Electronics, Energy",,,
,Rakesh K. Palani,rakesh@ee.iitd.ac.in,Microelectronics and VLSI,"VLSI Systems Design, Analog and RF CMOS IC, VLSI Systems, Robustness, Reliability and Optimality",,,
,Sandeep Kumar,ksandeep@ee.iitd.ac.in,AI/ML and Signal Processing,"AI/ML, Multimedia – Signal and Image Processing, Robustness, Reliability and Optimality, Healthcare, Mathematical Control, Cyber-Physical Systems",,,
,Soutik Betal,soutik@ee.iitd.ac.in,"Intelligent Systems and Robotics, e-Mobility and Energy Storage","Energy, Healthcare, MEMS/Sensors/Actuators, Flexible Electronics, Bio-Circuits",,,
,Yashasvi Bansal,yashasvi@ee.iitd.ac.in,"Smart and Sustainable Power Systems, Intelligent and Resilient Power Grid","Power Systems, Grid stability enhancement, Grid protection planning, Smart AC/DC grid, Distributed energy resources (DER) planning, Power quality improvement, Inverter based resources, Energy, Power Electronics",,,
,Debidas Kundu,debidask@ee.iitd.ac.in,Communications and Computing," Next Gen Communication Networks (5G, 6G and beyond), Analog and RF CMOS IC (partially)",,,
